reference_name,reference_type,works_count,total_repetitions,avg_reps_per_work,primary_tier,work_identifiers
William Shakespeare,author,46,109,2.4,exact,"JS-0000-T1392, JS-0000-T1544, JS-0000-T2672, JS-0000-T2878, JS-0000-T446, JS-0000-T5110, JS-0000-T5380, JS-0000-T5702, JS-0000-T5786, JS-0000-T6426, JS-0000-T794, JS-0000-T814, JS-1921-T2846, JS-1975-T6260, JS-2011-T1612, JS-2013-T1694, JS-2016-T1202, JS-2016-T1918, JS-2016-T5432, JS-2017-T1654, JS-2017-T4734, JS-2018-T1406, JS-2019-T1626, JS-2023-T3550, JS-2024-T1634, JS-2024-T2036, JS-2026-T6936, JS-2026-T7016, JS-2026-T7034, JS-2026-T7056, JS-2026-T7058, JS-2026-T7062, JS-2026-T7084, JS-2026-T7086, JS-2026-T7088, JS-2026-T7106, JS-2026-T7108, JS-2026-T7138, JS-2026-T7156, JS-2026-T7168, JS-2026-T7240, JS-2026-T7260, JS-2026-T7296, JS-2026-T7298, JS-2026-T7334, JS-2026-T7344"
Joseph Beuys,visual_artist,45,130,2.9,exact,"JS-0000-T1288, JS-0000-T1808, JS-0000-T2364, JS-0000-T2632, JS-0000-T2674, JS-0000-T5800, JS-0000-T6196, JS-0000-T880, JS-1923-T1554, JS-1929-T560, JS-1991-T4996, JS-2011-T1836, JS-2016-T1202, JS-2016-T2396, JS-2016-T804, JS-2017-T1120, JS-2017-T2418, JS-2017-T6400, JS-2019-T2382, JS-2019-T2424, JS-2019-T2454, JS-2020-T1176, JS-2021-T1280, JS-2021-T5844, JS-2021-T6040, JS-2022-T2898, JS-2022-T4654, JS-2024-T2232, JS-2026-T6896, JS-2026-T7018, JS-2026-T7022, JS-2026-T7024, JS-2026-T7028, JS-2026-T7034, JS-2026-T7040, JS-2026-T7078, JS-2026-T7098, JS-2026-T7116, JS-2026-T7130, JS-2026-T7156, JS-2026-T7170, JS-2026-T7178, JS-2026-T7192, JS-2026-T7296, JS-2026-T7360"
Bob Dylan,musician,45,61,1.4,exact,"JS-0000-T163, JS-0000-T1680, JS-0000-T2008, JS-0000-T2464, JS-0000-T2674, JS-0000-T2684, JS-0000-T2706, JS-0000-T4748, JS-0000-T5830, JS-0000-T6282, JS-0000-T6402, JS-0000-T644, JS-0000-T7483, JS-0000-T794, JS-0000-T814, JS-1921-T2846, JS-1981-T2816, JS-1982-T1464, JS-1984-T6596, JS-2007-T3460, JS-2010-T5908, JS-2012-T4842, JS-2014-T5732, JS-2016-T1134, JS-2017-T6820, JS-2021-T2308, JS-2021-T6334, JS-2022-T1484, JS-2022-T2876, JS-2023-T3350, JS-2023-T572, JS-2024-T2036, JS-2026-T6894, JS-2026-T7008, JS-2026-T7022, JS-2026-T7070, JS-2026-T7154, JS-2026-T7184, JS-2026-T7198, JS-2026-T7234, JS-2026-T7272, JS-2026-T7344, JS-2026-T7364, JS-2026-T7374, JS-2027-T283"
Vincent van Gogh,visual_artist,45,51,1.1,multi_word,"JS-0000-T1680, JS-0000-T1774, JS-0000-T205, JS-0000-T2116, JS-0000-T2632, JS-0000-T2672, JS-0000-T3484, JS-0000-T3794, JS-0000-T4896, JS-0000-T5380, JS-0000-T550, JS-0000-T6196, JS-0000-T6234, JS-0000-T644, JS-1921-T4636, JS-1922-T1360, JS-1923-T654, JS-1992-T606, JS-2003-T3530, JS-2014-T5400, JS-2016-T5778, JS-2017-T566, JS-2017-T590, JS-2017-T6820, JS-2018-T544, JS-2019-T2382, JS-2019-T2424, JS-2019-T592, JS-2021-T223, JS-2021-T4374, JS-2021-T5844, JS-2023-T3456, JS-2023-T510, JS-2026-T7028, JS-2026-T7050, JS-2026-T7054, JS-2026-T7080, JS-2026-T7120, JS-2026-T7126, JS-2026-T7180, JS-2026-T7244, JS-2026-T7296, JS-2026-T7338, JS-2026-T7342, JS-2026-T7344"
Amazon River,other,42,56,1.3,exact,"JS-0000-T1110, JS-0000-T1412, JS-0000-T1494, JS-0000-T2204, JS-0000-T2572, JS-0000-T259, JS-0000-T3378, JS-0000-T6338, JS-0000-T6432, JS-0000-T6498, JS-0000-T6500, JS-0000-T814, JS-1921-T6394, JS-1921-T696, JS-1923-T556, JS-1925-T452, JS-1929-T560, JS-1974-T3562, JS-1981-T1788, JS-1982-T1464, JS-1983-T1466, JS-2012-T4350, JS-2013-T868, JS-2014-T5104, JS-2016-T5470, JS-2020-T2758, JS-2021-T157, JS-2021-T5586, JS-2021-T6298, JS-2021-T700, JS-2022-T1472, JS-2022-T2346, JS-2022-T2660, JS-2022-T6678, JS-2023-T3490, JS-2024-T2098, JS-2024-T2194, JS-2024-T3590, JS-2025-T3462, JS-2026-T7020, JS-2026-T7176, JS-2026-T7214"
Jean-Michel Basquiat,visual_artist,42,56,1.3,exact,"JS-0000-T2632, JS-0000-T5772, JS-0000-T6196, JS-1921-T2792, JS-1921-T698, JS-1923-T6382, JS-1951-T6696, JS-1991-T2480, JS-1991-T4996, JS-2007-T4692, JS-2011-T1612, JS-2013-T868, JS-2016-T804, JS-2016-T934, JS-2017-T4578, JS-2019-T2382, JS-2019-T2424, JS-2021-T5844, JS-2022-T4654, JS-2026-T6916, JS-2026-T6944, JS-2026-T6952, JS-2026-T6958, JS-2026-T7010, JS-2026-T7024, JS-2026-T7028, JS-2026-T7034, JS-2026-T7040, JS-2026-T7076, JS-2026-T7078, JS-2026-T7094, JS-2026-T7130, JS-2026-T7138, JS-2026-T7156, JS-2026-T7158, JS-2026-T7160, JS-2026-T7180, JS-2026-T7192, JS-2026-T7298, JS-2026-T7342, JS-2026-T7344, JS-2026-T7366"
The Rolling Stones,band,38,111,2.9,exact,"JS-0000-T137, JS-0000-T1392, JS-0000-T151, JS-0000-T1750, JS-0000-T5862, JS-0000-T6440, JS-0000-T666, JS-0000-T764, JS-1921-T2846, JS-1921-T5590, JS-1921-T6394, JS-1981-T4904, JS-2007-T3460, JS-2011-T1218, JS-2017-T1606, JS-2017-T6744, JS-2019-T2318, JS-2020-T1176, JS-2021-T1498, JS-2021-T1982, JS-2021-T6304, JS-2022-T3486, JS-2023-T1418, JS-2023-T6812, JS-2026-T7022, JS-2026-T7064, JS-2026-T7066, JS-2026-T7106, JS-2026-T7108, JS-2026-T7164, JS-2026-T7184, JS-2026-T7244, JS-2026-T7246, JS-2026-T7256, JS-2026-T7262, JS-2026-T7278, JS-2026-T7290, JS-2026-T7322"
Rembrandt van Rijn,visual_artist,38,48,1.3,exact,"JS-0000-T2014, JS-0000-T2364, JS-0000-T2632, JS-0000-T2766, JS-0000-T3484, JS-0000-T5702, JS-0000-T6140, JS-0000-T6196, JS-0000-T6402, JS-1922-T1360, JS-1922-T2332, JS-1983-T1466, JS-2006-T1122, JS-2007-T4692, JS-2011-T127, JS-2012-T4842, JS-2016-T1202, JS-2016-T5750, JS-2016-T5778, JS-2019-T2382, JS-2020-T1176, JS-2021-T5844, JS-2026-T7028, JS-2026-T7056, JS-2026-T7084, JS-2026-T7180, JS-2026-T7192, JS-2026-T7244, JS-2026-T7246, JS-2026-T7276, JS-2026-T7296, JS-2026-T7342, JS-2026-T7344, JS-2026-T7348, JS-2026-T7360, JS-2026-T7364, JS-2026-T7366, JS-2026-T7372"
Howl,work,36,145,4.0,exact,"JS-0000-T1186, JS-0000-T1392, JS-0000-T1400, JS-0000-T2188, JS-0000-T245, JS-0000-T4504, JS-0000-T5786, JS-0000-T5862, JS-0000-T6402, JS-0000-T6558, JS-1921-T6754, JS-1921-T696, JS-2012-T4842, JS-2015-T1166, JS-2016-T6236, JS-2019-T1322, JS-2021-T864, JS-2022-T1472, JS-2023-T722, JS-2024-T3370, JS-2026-T6888, JS-2026-T7022, JS-2026-T7026, JS-2026-T7086, JS-2026-T7098, JS-2026-T7104, JS-2026-T7122, JS-2026-T7130, JS-2026-T7142, JS-2026-T7152, JS-2026-T7158, JS-2026-T7166, JS-2026-T7194, JS-2026-T7234, JS-2026-T7262, JS-2026-T7374"
Wassily Kandinsky,visual_artist,36,39,1.1,exact,"JS-0000-T2364, JS-0000-T2632, JS-0000-T4264, JS-0000-T6076, JS-0000-T6112, JS-0000-T7483, JS-1922-T337, JS-1922-T5720, JS-2012-T4842, JS-2016-T6574, JS-2017-T5510, JS-2018-T2222, JS-2019-T1200, JS-2019-T2382, JS-2021-T4374, JS-2022-T2898, JS-2026-T6948, JS-2026-T7024, JS-2026-T7028, JS-2026-T7054, JS-2026-T7056, JS-2026-T7090, JS-2026-T7094, JS-2026-T7108, JS-2026-T7126, JS-2026-T7138, JS-2026-T7194, JS-2026-T7244, JS-2026-T7260, JS-2026-T7262, JS-2026-T7282, JS-2026-T7306, JS-2026-T7322, JS-2026-T7360, JS-2026-T7364, JS-2026-T7368"
Chrysler Building,other,35,116,3.3,exact,"JS-0000-T1026, JS-0000-T1110, JS-0000-T1130, JS-0000-T1140, JS-0000-T1370, JS-0000-T2428, JS-0000-T5982, JS-0000-T6096, JS-1921-T6504, JS-1977-T6272, JS-2006-T1122, JS-2012-T4350, JS-2013-T2376, JS-2013-T6464, JS-2015-T1116, JS-2016-T432, JS-2016-T6276, JS-2016-T6448, JS-2016-T6530, JS-2016-T6626, JS-2018-T1024, JS-2018-T1084, JS-2018-T4844, JS-2019-T5308, JS-2020-T1098, JS-2021-T1106, JS-2021-T5092, JS-2021-T5208, JS-2021-T6836, JS-2022-T3464, JS-2022-T6872, JS-2024-T6624, JS-2026-T7278, JS-2026-T7296, JS-2027-T1152"
Castles Made of Sand,song,34,57,1.7,exact,"JS-0000-T1212, JS-0000-T1402, JS-0000-T4642, JS-0000-T5164, JS-0000-T5688, JS-0000-T5764, JS-0000-T6338, JS-0000-T6630, JS-0000-T6722, JS-0000-T862, JS-1921-T5024, JS-1921-T6192, JS-1921-T738, JS-1974-T5174, JS-1981-T1738, JS-1982-T1464, JS-2003-T1638, JS-2013-T2192, JS-2013-T2550, JS-2013-T4776, JS-2016-T6758, JS-2016-T6862, JS-2020-T4884, JS-2021-T2630, JS-2021-T4696, JS-2021-T5906, JS-2023-T1744, JS-2024-T1946, JS-2024-T2036, JS-2025-T1456, JS-2025-T3462, JS-2026-T6898, JS-2026-T7162, JS-2026-T7314"
